Country,Year95to99,Year00to04,Year05to09,info
Åland,,,,Averge GDP (constant 2000 US$)
South Sudan,,,,Averge GDP (constant 2000 US$)
Christian,,,,Averge GDP (constant 2000 US$)
Coastline,,,,Averge GDP (constant 2000 US$)
Curaçao,,,,Averge GDP (constant 2000 US$)
Sint Maarten (Dutch part),,,,Averge GDP (constant 2000 US$)
St. Martin (French part),,,,Averge GDP (constant 2000 US$)
Antarctica,,,,Averge GDP (constant 2000 US$)
Virgin Islands. British,,,,Averge GDP (constant 2000 US$)
Hawaiian Trade Zone,,,,Averge GDP (constant 2000 US$)
U.S. Pacific Islands,,,,Averge GDP (constant 2000 US$)
Wake Island,,,,Averge GDP (constant 2000 US$)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
