Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,Avg. Income/pp $USD
Afghanistan,,,Avg. Income/pp $USD
Akrotiri and Dhekelia,,,Avg. Income/pp $USD
Senegal,465.9960094,504.2604491,547.836062,Avg. Income/pp $USD
Serbia,786.6250028,894.0748874,1144.97486,Avg. Income/pp $USD
Serbia and Montenegro,,,,Avg. Income/pp $USD
Serbia excluding Kosovo,,,,Avg. Income/pp $USD
Seychelles,6773.020124,7179.790125,7932.827055,Avg. Income/pp $USD
Sierra Leone,179.3821162,197.8380788,249.7460805,Avg. Income/pp $USD
Singapore,21489.92379,24513.2436,29728.56919,Avg. Income/pp $USD
Slovak Republic,4983.27601,5809.510175,7771.121086,Avg. Income/pp $USD
Slovenia,8846.683024,10715.97846,12869.2699,Avg. Income/pp $USD
Solomon Islands,1343.303438,960.448639,1064.428565,Avg. Income/pp $USD
Somalia,,,,Avg. Income/pp $USD
Somaliland,,,,Avg. Income/pp $USD
South Africa,2991.409114,3118.250277,3628.709035,Avg. Income/pp $USD
South Ossetia,,,,Avg. Income/pp $USD
Spain,12846.11771,14944.01939,15980.18809,Avg. Income/pp $USD
Sri Lanka,756.4217581,895.6381033,1128.613608,Avg. Income/pp $USD
Sudan,322.5486104,385.1473469,489.2008311,Avg. Income/pp $USD
Suriname,1939.867132,2066.249879,2511.247558,Avg. Income/pp $USD
Svalbard,,,,Avg. Income/pp $USD
Swaziland,1421.544652,1557.402199,1748.582099,Avg. Income/pp $USD
Sweden,24856.13593,28902.62543,32129.30004,Avg. Income/pp $USD
Switzerland,33594.3544,35708.59211,38201.48627,Avg. Income/pp $USD
Syria,1236.826645,1247.593913,1415.639753,Avg. Income/pp $USD
Taiwan,,,,Avg. Income/pp $USD
Tajikistan,130.1027231,166.6796115,227.4523978,Avg. Income/pp $USD
Tanzania,291.5088001,333.6079929,410.9715353,Avg. Income/pp $USD
Thailand,1974.885658,2078.028285,2504.07304,Avg. Income/pp $USD
Timor-Leste,337.8731239,326.6957131,340.1192927,Avg. Income/pp $USD
Togo,277.9411702,257.9875616,257.4030982,Avg. Income/pp $USD
Tokelau,,,,Avg. Income/pp $USD
Tonga,1804.152876,2020.243856,2031.505025,Avg. Income/pp $USD
Transnistria,,,,Avg. Income/pp $USD
Trinidad and Tobago,5476.106533,7314.109907,10319.47914,Avg. Income/pp $USD
Tunisia,2004.844808,2388.851515,2891.845733,Avg. Income/pp $USD
Turkey,3991.683642,4193.198948,5124.541914,Avg. Income/pp $USD
Turkmenistan,561.4251702,669.6701333,956.4004049,Avg. Income/pp $USD
Turks and Caicos Islands,,,,Avg. Income/pp $USD
Tuvalu,1355.923789,1504.620449,1535.752036,Avg. Income/pp $USD
Uganda,239.1070739,273.3752578,338.1538188,Avg. Income/pp $USD
Ukraine,611.8840275,766.365224,1054.541801,Avg. Income/pp $USD
United Arab Emirates,33721.08725,34254.05057,28345.14827,Avg. Income/pp $USD
United Kingdom,22776.27899,26363.46509,28851.99546,Avg. Income/pp $USD
United States,31922.22878,35715.75121,37905.2558,Avg. Income/pp $USD
Uruguay,6782.161573,6467.713268,7696.218553,Avg. Income/pp $USD
USSR,,,,Avg. Income/pp $USD
